			GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Elevation (m)
-102.761665	9.917557	132.97575	-3242.215
-102.770386	9.916416	133.93935	-3217.5293
-102.779106	9.915277	134.90294	-3282.5059
-102.78783	9.914136	135.86653	-3250.752
-102.79655	9.912995	136.83012	-3362.9004
-102.80527	9.911854	137.79372	-3277.9575
-102.81399	9.910713	138.75731	-3322.2915
-102.82271	9.909572	139.7209	-3358.1494
-102.83143	9.90843	140.6845	-3302.931
-102.84015	9.907288	141.64809	-3370.6123
-102.84887	9.906146	142.61168	-3378.8794
-102.85759	9.905004	143.57527	-3295.821
-102.86631	9.903861	144.53886	-3302.2727
-102.87503	9.902719	145.50246	-3337.0083
-102.88375	9.901575	146.46605	-3321.5935
-102.89247	9.900433	147.42964	-3365.671
-102.90119	9.899289	148.39323	-3392.943
-102.90991	9.898145	149.35683	-3352.0962
-102.91863	9.897001	150.32042	-3327.3684
-102.92735	9.895857	151.28401	-3309.4148
-102.936066	9.894712	152.2476	-3256.0508
-102.944786	9.893568	153.2112	-3225.6846
-102.95351	9.892424	154.17479	-3222.9988
-102.96223	9.891278	155.13838	-3229.8108
-102.97095	9.890133	156.10197	-3173.798
-102.97967	9.888988	157.06557	-3153.1672
-102.98839	9.887842	158.02916	-3230.611
-102.99711	9.886697	158.99275	-3247.452
-103.00582	9.8855505	159.95634	-3246.2046
-103.01454	9.884404	160.91994	-3154.9795
-103.02326	9.883257	161.88353	-3262.9612
-103.03198	9.882111	162.84712	-3313.078
-103.0407	9.880963	163.81071	-3302.4956
-103.049416	9.879816	164.7743	-3235.6724
-103.058136	9.878669	165.7379	-3177.6553
-103.06686	9.8775215	166.70149	-3133.9863
-103.07558	9.876373	167.66508	-3187.0076
-103.0843	9.875225	168.62868	-3182.0083
-103.09301	9.874077	169.59227	-3183.5295
-103.10173	9.872929	170.55586	-3308.3
-103.11045	9.871779	171.51945	-3240.7148
-103.11916	9.87063	172.48305	-3192.047
-103.127884	9.869481	173.44664	-3183.668
-103.136604	9.868332	174.41023	-3179.747
-103.145325	9.867182	175.37383	-3160.1506
-103.15404	9.866032	176.33742	-3165.1768
-103.16276	9.8648815	177.30101	-3226.8286
-103.17148	9.863731	178.2646	-3226.561
-103.18019	9.862581	179.2282	-3237.876
-103.18891	9.86143	180.19179	-3239.0244
-103.19763	9.860279	181.15538	-3222.3708
-103.206345	9.859128	182.11897	-3292.6902
-103.215065	9.857976	183.08257	-3284.6604
-103.223785	9.856825	184.04616	-3264.9446
-103.2325	9.855673	185.00975	-3261.1646
-103.24122	9.854521	185.97334	-3287.4998
-103.24993	9.853368	186.93694	-3333.4304
-103.25865	9.852216	187.90053	-3318.7036
-103.26737	9.851063	188.86412	-3273.0205
-103.276085	9.84991	189.82771	-3349.1416
-103.284805	9.848757	190.7913	-3421.919
-103.29352	9.847603	191.7549	-3369.6658
-103.30224	9.846449	192.71849	-3332.1658
-103.31096	9.845295	193.68208	-3326.1902
-103.31967	9.844141	194.64568	-3341.9336
-103.32839	9.842986	195.60927	-3336.392
-103.337105	9.841832	196.57286	-3354.866
-103.345825	9.840677	197.53645	-3367.758
-103.35454	9.839522	198.50005	-3323.8738
-103.36326	9.8383665	199.46364	-3281.6394
-103.37197	9.837212	200.42723	-3238.9875
-103.38069	9.836056	201.39082	-3230.0334
-103.389404	9.8349	202.35442	-3266.157
-103.398125	9.833743	203.31801	-3283.0461
-103.40684	9.832587	204.2816	-3227.3188
-103.41556	9.83143	205.2452	-3262.9707
-103.42427	9.830274	206.20879	-3300.6926
-103.43299	9.829117	207.17238	-3295.3984
-103.4417	9.827959	208.13597	-3250.4045
-103.45042	9.826801	209.09956	-3212.9133
-103.45914	9.825644	210.06316	-3231.052
-103.46785	9.824486	211.02675	-3251.802
-103.47657	9.823328	211.99034	-3230.581
-103.48528	9.822169	212.95393	-3194.4424
-103.493996	9.821011	213.91753	-3217.3157
-103.502716	9.819852	214.88112	-3227.546
-103.51143	9.818692	215.84471	-3125.9695
-103.52015	9.8175335	216.8083	-3107.6562
-103.52886	9.816374	217.7719	-3174.7805
-103.537575	9.815214	218.73549	-3149.6895
-103.546295	9.8140545	219.69908	-3220.7896
-103.55501	9.812894	220.66267	-3129.7336
-103.56372	9.811733	221.62627	-3157.7852
-103.57244	9.810573	222.58986	-3203.6672
-103.581154	9.809412	223.55345	-3122.2258
-103.58987	9.808251	224.51704	-3119.565
-103.59858	9.80709	225.48064	-3194.032
-103.6073	9.805928	226.44423	-3238.2463
-103.61601	9.804767	227.40782	-3284.7922
-103.624725	9.803604	228.37141	-3240.2046
-103.633446	9.802443	229.335	-3254.5784
-103.64216	9.80128	230.2986	-3239.9976
-103.65087	9.8001175	231.26219	-3191.9111
-103.659584	9.798954	232.22578	-3176.4934
-103.6683	9.7977915	233.18938	-3175.44
-103.67702	9.796628	234.15297	-3223.3198
-103.68573	9.7954645	235.11656	-3254.5188
-103.69444	9.7943	236.08015	-3242.079
-103.703156	9.793137	237.04375	-3220.7026
-103.71187	9.791972	238.00734	-3128.795
-103.72059	9.790808	238.97093	-3058.3164
-103.7293	9.789643	239.93452	-3042.2263
-103.738014	9.788479	240.89812	-3020.9404
-103.74673	9.787313	241.86171	-3023.1733
-103.75544	9.786148	242.8253	-2963.8508
-103.76415	9.784983	243.7889	-2894.9478
-103.77287	9.783816	244.75249	-2949.2593
-103.781586	9.782651	245.71608	-2999.2656
-103.7903	9.781485	246.67967	-3033.8433
-103.79901	9.780318	247.64326	-3049.6677
-103.807724	9.779152	248.60686	-3050.8308
-103.81644	9.777985	249.57045	-3035.3774
-103.82515	9.776817	250.53404	-3035.6597
-103.83386	9.77565	251.49763	-3016.237
-103.842575	9.774483	252.46123	-2984.111
-103.85129	9.773315	253.42482	-2939.038
-103.86	9.772147	254.38841	-2845.2766
-103.86872	9.770979	255.352	-2744.4265
-103.87743	9.769811	256.31558	-2662.6697
-103.88615	9.768641	257.27917	-2595.9385
-103.89486	9.767473	258.24277	-2578.824
-103.90357	9.766304	259.20636	-2566.2573
-103.912285	9.765135	260.16995	-2583.448
-103.921	9.763965	261.13354	-2645.558
-103.92971	9.762795	262.09714	-2822.2683
-103.93842	9.761625	263.06073	-2940.098
-103.947136	9.760455	264.02432	-3016.7126
-103.95585	9.759285	264.9879	-3012.5083
-103.964554	9.758114	265.9515	-2992.5566
-103.97327	9.756944	266.9151	-2967.028
-103.98198	9.755773	267.8787	-2999.884
-103.99069	9.754601	268.8423	-3011.7283
-103.999405	9.753429	269.80588	-3005.2102
-104.00812	9.752257	270.76947	-3029.962
-104.01683	9.751085	271.73306	-2998.7024
-104.02554	9.749913	272.69666	-2992.1086
-104.034256	9.748741	273.66025	-2960.187
-104.04297	9.747568	274.62384	-2938.8232
-104.05168	9.746396	275.58743	-2947.458
-104.06039	9.745222	276.55103	-2985.549
-104.0691	9.744049	277.51462	-3008.7158
-104.07781	9.742876	278.4782	-2983.0852
-104.086525	9.741702	279.4418	-2894.2107
-104.09524	9.740528	280.4054	-2873.742
-104.10395	9.739354	281.369	-2875.671
-104.112656	9.738179	282.33258	-2922.1272
-104.12137	9.737005	283.29617	-2942.1338
-104.13008	9.73583	284.25977	-2970.5764
-104.138794	9.734655	285.22336	-2976.5
-104.14751	9.7334795	286.18695	-2953.9062
-104.15621	9.732305	287.15054	-2898.687
-104.164925	9.731129	288.11414	-2864.1638
-104.17364	9.729953	289.07773	-2852.2732
-104.18235	9.728777	290.04132	-2847.0513
-104.191055	9.7276	291.0049	-2845.4233
-104.19977	9.726423	291.9685	-2837.024
-104.20848	9.725246	292.9321	-2802.7305
-104.21719	9.72407	293.8957	-2734.015
-104.2259	9.722893	294.85928	-2732.7854
-104.23461	9.721715	295.82288	-2715.3894
-104.243324	9.720537	296.78647	-2640.2244
-104.25203	9.719359	297.75006	-2583.0054
-104.26074	9.718182	298.71365	-2556.6357
-104.269455	9.717003	299.67725	-2545.9297
-104.27817	9.715824	300.64084	-2553.2593
-104.28687	9.714645	301.60443	-2593.2131
-104.295586	9.713467	302.56802	-2651.2678
-104.30429	9.712287	303.53162	-2706.3923
-104.313	9.711108	304.4952	-2772.8718
-104.32172	9.7099285	305.4588	-2822.1765
-104.33042	9.708748	306.4224	-2842.782
-104.339134	9.707568	307.386	-2866.341
-104.34785	9.7063875	308.34958	-2888.8855
-104.35655	9.705207	309.31317	-2899.9912
-104.365265	9.704026	310.27676	-2899.9966
-104.37397	9.702846	311.24036	-2889.9958
-104.38268	9.701664	312.20395	-2868.7126
-104.39139	9.700482	313.16754	-2890.1885
-104.4001	9.699301	314.13113	-2909.8044
-104.40881	9.698119	315.09473	-2916.0537
-104.41752	9.696938	316.05832	-2895.1567
-104.42623	9.695755	317.0219	-2854.5212
-104.43494	9.694572	317.9855	-2858.3267
-104.44365	9.69339	318.9491	-2877.515
-104.452354	9.692206	319.9127	-2877.4792
-104.46107	9.691023	320.87628	-2863.2144
-104.46977	9.68984	321.83987	-2887.08
-104.478485	9.688656	322.80347	-2923.826
-104.48719	9.687472	323.76706	-2964.733
-104.4959	9.686288	324.73065	-2987.1487
-104.50461	9.685104	325.69424	-2986.5757
-104.51331	9.68392	326.65784	-2990.2395
-104.522026	9.6827345	327.62143	-2996.8677
-104.53073	9.68155	328.58502	-3011.3933
-104.539444	9.680365	329.5486	-3018.5476
-104.54815	9.679179	330.5122	-3016.3684
-104.55686	9.677994	331.4758	-3006.693
-104.56557	9.676807	332.4394	-3051.6953
-104.57427	9.675622	333.40298	-3080.5796
-104.582985	9.674436	334.36658	-3067.276
-104.59169	9.673249	335.33017	-3057.127
-104.6004	9.672062	336.29376	-3015.045
-104.60911	9.670876	337.25735	-3003.499
-104.61781	9.669688	338.22095	-3015.6477
-104.626526	9.668501	339.18454	-2984.5413
-104.63523	9.667314	340.14813	-2894.1316
-104.643936	9.666125	341.11172	-2798.7073
-104.65265	9.664937	342.07532	-2811.6377
