			Gravity FAA (Sandwell et al, v24.1)	EMAG2 (2-arc-minute resolution, 2013)	Gravity (Sandwell and Smith 97)	GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Free-Air Anomaly (mgal)	Magnetic Anomaly (nT)	Gravity Anomaly (mgal)	Elevation (m)
-106.305374	9.032473	70.516884	-6.2531323	-0.28594014	-8.802682	-3442.798
-106.29661	9.033175	71.48287	-6.0322676	-0.49306685	-7.957553	-3438.153
-106.28784	9.033878	72.44886	-5.9222827	-0.95069873	-6.8682203	-3431.5676
-106.279076	9.034581	73.41485	-5.8618627	-1.6062881	-5.550557	-3417.5364
-106.2703	9.035284	74.38084	-5.7952876	-2.3995318	-4.3914986	-3406.933
-106.261536	9.035986	75.346825	-5.7169065	-3.3461888	-3.4091344	-3397.637
-106.25277	9.036689	76.31281	-5.63577	-4.5255814	-2.8423116	-3397.5916
-106.244	9.037391	77.2788	-5.530009	-6.005936	-2.6482477	-3407.7822
-106.23524	9.038092	78.24479	-5.31551	-7.8415723	-2.7916334	-3412.381
-106.22646	9.038794	79.21078	-5.032788	-9.982013	-3.1727796	-3412.624
-106.2177	9.0394945	80.176765	-4.7117805	-12.305446	-3.5183978	-3400.8374
-106.20893	9.040196	81.14275	-4.3672547	-14.706768	-3.809543	-3387.979
-106.200165	9.040896	82.10874	-4.0499425	-17.213125	-3.8975594	-3381.4905
-106.19139	9.041597	83.07473	-3.7449923	-19.92223	-3.869372	-3376.4915
-106.182625	9.042298	84.04072	-3.4695354	-22.632008	-3.7303905	-3369.9329
-106.17386	9.042998	85.00671	-3.2298105	-25.1383	-3.663494	-3364.558
-106.16509	9.043698	85.972694	-3.037239	-27.438751	-3.7942026	-3362.8406
-106.15633	9.044398	86.93868	-2.9477818	-29.729382	-4.1536093	-3365.004
-106.14755	9.045098	87.90467	-3.086473	-31.738256	-4.8341327	-3370.6772
-106.13879	9.045797	88.87066	-3.42255	-33.171085	-5.6133637	-3381.3125
-106.13002	9.046496	89.83665	-3.9571059	-33.964634	-6.470149	-3394.5337
-106.12125	9.047195	90.802635	-4.5767007	-34.3682	-7.138794	-3399.2585
-106.11248	9.0478945	91.76862	-5.0142546	-34.10473	-7.603963	-3402.4395
-106.103714	9.0485935	92.73461	-5.2387476	-32.874638	-7.62753	-3394.5796
-106.09495	9.049292	93.7006	-5.003182	-30.443766	-7.22855	-3361.7866
-106.086174	9.04999	94.66659	-4.4179177	-26.942778	-6.4938207	-3331.1443
-106.07741	9.050688	95.632576	-3.5527894	-22.612532	-5.4619203	-3308.165
-106.06864	9.051385	96.598564	-2.5645373	-17.700846	-4.303426	-3289.427
-106.05987	9.052083	97.56455	-1.9807346	-12.1171255	-3.049155	-3279.377
-106.0511	9.05278	98.53054	-1.6815106	-5.5442004	-1.859413	-3278.5667
-106.042336	9.053477	99.49653	-1.6616592	1.2541744	-0.7704494	-3282.0657
-106.03357	9.054174	100.46252	-1.8559034	7.482021	0.09158038	-3291.5894
-106.024796	9.054872	101.428505	-2.051872	12.808564	0.71926564	-3305.3748
-106.01603	9.055568	102.39449	-2.1929088	17.803503	1.0480767	-3320.0967
-106.00726	9.056264	103.36048	-1.9540571	22.132643	1.1466407	-3334.2898
-105.99849	9.05696	104.32647	-1.4265943	25.424715	1.0293878	-3343.1487
-105.98972	9.057656	105.29246	-0.7101097	27.383837	0.7371715	-3346.6404
-105.98096	9.0583515	106.258446	0.104256496	28.173162	0.273628	-3344.1113
-105.97218	9.059047	107.224434	0.5550437	28.144257	-0.24542536	-3340.3923
-105.96342	9.059742	108.19042	0.6690202	27.631737	-0.8052318	-3340.6694
-105.95465	9.060437	109.15641	0.19303183	26.692055	-1.3929648	-3336.1536
-105.94588	9.061132	110.1224	-0.72570944	24.999275	-2.0264595	-3328.9172
-105.93711	9.061827	111.08839	-1.5826707	22.982567	-2.5764039	-3320.6614
-105.92834	9.062521	112.054375	-2.3534641	21.115194	-3.0256476	-3311.7026
-105.91957	9.063215	113.02036	-2.5381107	19.648468	-3.3003538	-3307.301
-105.910805	9.06391	113.98635	-2.259464	18.263613	-3.4095469	-3303.9631
-105.90203	9.064604	114.95234	-1.7271322	17.059908	-3.3184083	-3305.3242
-105.893265	9.065297	115.91833	-0.9848006	16.17281	-3.0375	-3310.8425
-105.8845	9.06599	116.884315	-0.3653027	15.689945	-2.5795383	-3313.0894
-105.875725	9.066684	117.8503	0.14310531	15.536762	-1.9737462	-3306.3062
-105.86696	9.067377	118.81629	0.3978958	15.712003	-1.2895825	-3288.7822
-105.858185	9.068069	119.78228	0.45783868	16.218906	-0.55593216	-3277.7458
-105.84942	9.068762	120.74827	0.4747404	17.144403	0.17684516	-3277.2974
-105.84065	9.069454	121.71426	0.46367487	18.593369	0.8831096	-3276.04
-105.83188	9.070147	122.680244	0.56864023	20.26197	1.549314	-3271.4102
-105.82311	9.070838	123.64623	0.76524293	21.82157	2.1052985	-3265.88
-105.81434	9.07153	124.61222	1.0468731	23.074015	2.5127459	-3280.5457
-105.80557	9.072222	125.57821	1.3495666	24.230162	2.7826676	-3279.0305
-105.7968	9.072913	126.5442	1.3283111	25.268364	2.913261	-3262.4458
-105.78803	9.073604	127.510185	1.0170286	26.140463	2.845799	-3220.7312
-105.77927	9.074295	128.47617	0.37504458	26.870476	2.577186	-3398.5513
-105.77049	9.0749855	129.44215	-0.56620365	27.561491	2.1210618	-3432.065
-105.76173	9.075676	130.40814	-1.6104673	27.999186	1.4717983	-3399.4136
-105.75295	9.076366	131.37413	-2.7553778	27.949821	0.6894854	-3340.5552
-105.74419	9.077056	132.34012	-3.945603	27.234798	-0.2043152	-3303.1865
-105.73541	9.077746	133.3061	-5.1416774	25.951736	-1.0593382	-3309.1697
-105.72665	9.078436	134.2721	-6.14401	24.214554	-1.8695784	-3313.1438
-105.71787	9.079125	135.23808	-6.924502	22.132196	-2.5657754	-3325.8174
-105.70911	9.079815	136.20407	-7.258181	19.735533	-3.1379113	-3329.5796
-105.70033	9.080503	137.17006	-7.16005	16.894178	-3.5760965	-3302.6353
-105.69157	9.081192	138.13605	-6.5334096	13.76709	-3.839571	-3266.989
-105.68279	9.081881	139.10204	-5.4570427	10.549991	-3.8473837	-3285.052
-105.67403	9.082569	140.06802	-4.232487	7.347145	-3.7031105	-3330.4585
-105.66525	9.083258	141.03401	-2.87349	4.006847	-3.4911942	-3324.478
-105.65649	9.083945	142.0	-1.747627	0.6921844	-3.1311018	-3333.5928
-105.64771	9.084633	142.96599	-0.7765615	-2.4349453	-2.597877	-3303.8984
-105.63895	9.08532	143.93198	0.22328359	-5.227973	-1.906616	-3271.865
-105.63017	9.086008	144.89796	1.2368226	-7.69968	-1.0483037	-3281.8184
-105.62141	9.086695	145.86395	2.2687914	-10.135448	-0.080128476	-3289.032
-105.61263	9.087382	146.82994	3.314903	-12.8267	0.99011576	-3300.3699
-105.60387	9.088069	147.79593	4.37457	-16.033806	2.0746777	-3319.9216
-105.59509	9.088756	148.76192	5.435965	-19.710274	3.1686356	-3316.9736
-105.58633	9.089441	149.7279	6.4803433	-23.593845	4.219655	-3307.2517
