			GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Elevation (m)
-43.671646	32.80212	462.51184	-3581.4495
-43.637188	32.7946	465.83926	-3575.518
-43.602737	32.78707	469.1667	-3656.2795
-43.56829	32.779533	472.4941	-3761.546
-43.53385	32.771988	475.82153	-3738.0896
-43.49942	32.76443	479.14896	-3727.1868
-43.46499	32.756863	482.47638	-3709.6687
-43.43057	32.74929	485.8038	-3721.1802
-43.396152	32.741703	489.13123	-3808.5664
-43.36174	32.734108	492.45865	-3788.7056
-43.327335	32.726505	495.78607	-3745.5254
-43.29294	32.71889	499.1135	-3967.8247
-43.258545	32.71127	502.44092	-4100.9106
-43.22416	32.703636	505.76834	-3941.7666
-43.189777	32.695995	509.09576	-3834.8262
-43.1554	32.688347	512.4232	-3702.5183
-43.121033	32.680687	515.7507	-3508.277
-43.08667	32.673016	519.0781	-3386.5671
-43.05231	32.665337	522.4056	-3431.0303
-43.01796	32.65765	525.73303	-3586.254
-42.983612	32.649952	529.0605	-3686.2375
-42.949272	32.642242	532.38794	-3671.03
-42.91494	32.63453	535.7154	-3611.5383
-42.88061	32.6268	539.04285	-3526.9458
-42.84629	32.61907	542.3703	-3461.929
-42.811974	32.611324	545.69775	-3444.541
-42.777664	32.60357	549.0252	-3464.3694
-42.74336	32.595806	552.35266	-3480.0596
-42.70906	32.58803	555.6801	-3434.6973
-42.67477	32.580254	559.00757	-3363.9038
-42.640484	32.57246	562.335	-3268.971
-42.6062	32.56466	565.6625	-3182.1746
-42.571926	32.55685	568.9899	-3071.563
-42.53766	32.549034	572.3174	-3029.8435
-42.503395	32.541203	575.64484	-3030.1472
-42.46914	32.533367	578.9723	-3025.8704
-42.43489	32.52552	582.29974	-3005.7449
-42.400646	32.517666	585.6272	-2993.6626
-42.366405	32.5098	588.95465	-3017.7126
-42.332172	32.501923	592.2821	-3078.727
-42.297947	32.49404	595.60956	-3130.6687
-42.263725	32.48615	598.937	-3134.853
-42.22951	32.478245	602.26447	-3092.731
-42.195305	32.470333	605.5919	-3052.1438
-42.161102	32.462414	608.9194	-3052.8645
-42.126904	32.454483	612.2468	-3078.0693
-42.092712	32.446545	615.5743	-3096.2869
-42.05853	32.438595	618.90173	-3132.5398
-42.02435	32.430637	622.2292	-3166.8608
-41.990177	32.42267	625.55664	-3167.3286
-41.956013	32.414696	628.8841	-3150.7656
-41.921852	32.406708	632.21155	-3233.3372
-41.887695	32.398712	635.539	-3468.2358
-41.85355	32.39071	638.86646	-3724.5444
-41.81941	32.382698	642.1939	-3825.7024
-41.78527	32.374676	645.52136	-3724.0234
-41.75114	32.366642	648.8488	-3438.777
-41.71702	32.358604	652.1763	-3090.3354
-41.6829	32.35055	655.5037	-2902.5955
-41.64879	32.342495	658.8312	-2930.592
-41.61468	32.334427	662.1586	-3156.3489
-41.58058	32.326347	665.4861	-3385.0137
-41.546486	32.31826	668.81354	-3479.5642
-41.5124	32.310165	672.141	-3470.686
-41.478317	32.30206	675.46844	-3427.7485
-41.444244	32.293945	678.7959	-3384.185
-41.410175	32.285824	682.12335	-3331.8645
-41.37611	32.27769	685.4508	-3262.5266
-41.342052	32.26955	688.77826	-3200.8003
-41.308002	32.2614	692.1057	-3185.5652
-41.27396	32.25324	695.43317	-3214.7153
-41.23992	32.24507	698.7606	-3235.6506
-41.205887	32.236893	702.0881	-3199.0928
-41.17186	32.228706	705.4155	-3087.0398
-41.13784	32.22051	708.743	-2925.5725
-41.103825	32.212303	712.07043	-2771.7378
-41.06982	32.20409	715.3979	-2747.4304
-41.035816	32.195866	718.72534	-2840.828
-41.00182	32.187634	722.0528	-2914.0527
-40.96783	32.179394	725.38025	-2937.1677
-40.93385	32.171143	728.7077	-2887.9868
-40.89987	32.16288	732.03516	-2868.7363
-40.8659	32.154613	735.3626	-2868.9475
-40.831936	32.146336	738.69006	-2725.3516
-40.797977	32.138046	742.0175	-2310.8523
-40.764023	32.12975	745.345	-2210.283
-40.730076	32.121445	748.6724	-2210.3591
-40.696136	32.113132	751.9999	-2020.125
-40.662205	32.10481	755.32733	-2002.8363
-40.628277	32.096478	758.6548	-2145.2212
-40.594353	32.088135	761.98224	-2026.4222
-40.56044	32.079784	765.3097	-2080.4197
-40.526527	32.071423	768.63715	-2240.0996
-40.492626	32.063057	771.9646	-2399.8926
-40.45873	32.05468	775.29205	-2799.4807
-40.42484	32.04629	778.6195	-2950.0146
-40.390953	32.037895	781.94696	-3007.3271
-40.357075	32.02949	785.2744	-2712.16
-40.323204	32.021076	788.60187	-2236.4724
-40.289337	32.012653	791.9293	-1725.3895
-40.255478	32.004223	795.2568	-1717.1589
-40.221626	31.995783	798.5842	-2003.9043
-40.18778	31.987333	801.9117	-2168.7183
-40.15394	31.978874	805.23914	-2082.9626
-40.120102	31.970407	808.5666	-2198.714
-40.086273	31.961931	811.89404	-2294.1455
-40.052452	31.953445	815.2215	-2359.8179
-40.01864	31.94495	818.54895	-2392.2192
-39.98483	31.936447	821.8764	-2418.1455
-39.951023	31.927935	825.20386	-2442.433
-39.91723	31.919415	828.5313	-2434.612
-39.88344	31.910883	831.85876	-2401.2253
-39.84965	31.902344	835.1862	-2473.0447
-39.815872	31.893797	838.5137	-2532.6917
-39.7821	31.885239	841.8411	-2778.218
-39.748337	31.876673	845.1686	-3217.2637
-39.714577	31.8681	848.49603	-3055.8513
-39.680824	31.859514	851.8235	-2807.8264
-39.647076	31.850922	855.15094	-3079.7278
-39.613335	31.84232	858.4784	-3256.9922
-39.5796	31.83371	861.80585	-3316.8982
-39.545876	31.82509	865.1333	-3244.172
-39.512154	31.816462	868.46075	-3067.579
-39.478436	31.807825	871.7882	-2916.8896
-39.44473	31.79918	875.11566	-2943.8806
-39.411026	31.790524	878.4431	-3179.6057
-39.37733	31.78186	881.77057	-3177.0608
-39.34364	31.773188	885.098	-3125.131
-39.309956	31.764505	888.4255	-3093.2688
-39.27628	31.755816	891.7529	-3194.366
-39.242607	31.747116	895.0804	-3289.2273
-39.208942	31.738407	898.40784	-3367.7537
-39.17528	31.72969	901.7353	-3427.3774
-39.141632	31.720964	905.06274	-3495.6833
-39.107986	31.71223	908.3902	-3621.4285
-39.074345	31.703485	911.71765	-3807.8105
-39.040714	31.694735	915.0451	-4015.6208
-39.007088	31.685972	918.37256	-4172.4116
-38.973465	31.677202	921.7	-3920.2402
-38.93985	31.668425	925.02747	-3466.9463
-38.906242	31.659636	928.3549	-3455.8826
-38.872643	31.65084	931.6824	-3696.7004
-38.839046	31.642035	935.0098	-3105.5913
-38.805458	31.63322	938.3373	-2696.7341
-38.771877	31.624397	941.66473	-3077.1733
-38.7383	31.615566	944.9922	-3102.1226
-38.70473	31.606726	948.31964	-3222.3047
-38.67117	31.597878	951.6471	-3255.944
-38.63761	31.589018	954.97455	-3474.6187
-38.60406	31.580153	958.302	-3546.8115
-38.57052	31.571276	961.62946	-3544.453
-38.53698	31.562393	964.9569	-3402.3525
-38.50345	31.5535	968.28436	-3264.146
-38.469925	31.544598	971.6118	-2921.018
-38.436405	31.535686	974.9393	-2697.471
-38.402893	31.526768	978.2667	-2838.9866
-38.36939	31.51784	981.5942	-2971.315
-38.335888	31.508904	984.92163	-2918.078
-38.302395	31.499958	988.2491	-2894.5073
-38.26891	31.491003	991.57654	-2830.6978
-38.235428	31.48204	994.904	-2778.6335
-38.201958	31.47307	998.23145	-2885.5205
-38.168488	31.464088	1001.5589	-3048.9773
-38.13503	31.4551	1004.88635	-3095.3877
-38.101574	31.446102	1008.2138	-3098.833
-38.068127	31.437096	1011.54126	-3073.4321
-38.034683	31.428082	1014.8687	-3026.1472
-38.00125	31.419058	1018.19617	-3013.39
-37.967823	31.410025	1021.5236	-3037.5642
-37.9344	31.400984	1024.8511	-3056.6873
-37.90098	31.391933	1028.1785	-3031.3184
-37.867573	31.382875	1031.5059	-2999.0493
-37.83417	31.373808	1034.8333	-3025.163
-37.800774	31.364733	1038.1606	-3115.3005
-37.767384	31.355648	1041.488	-3207.8203
-37.734	31.346556	1044.8154	-3238.808
-37.700626	31.337454	1048.1428	-3184.2732
-37.667255	31.328344	1051.4702	-3088.8772
-37.633892	31.319225	1054.7976	-3029.8022
-37.600533	31.310097	1058.125	-3050.3943
-37.56718	31.30096	1061.4524	-3134.288
-37.533836	31.291817	1064.7798	-3212.9465
-37.5005	31.282663	1068.1072	-3289.684
-37.467167	31.2735	1071.4346	-3357.7646
-37.43384	31.26433	1074.762	-3367.7554
-37.400524	31.255152	1078.0894	-3379.2932
-37.36721	31.245964	1081.4167	-3547.926
-37.333904	31.236767	1084.7441	-3682.0107
