Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Vel.(m/s)
138,844,A,1,H,1,2.5,0.025,2268.4
138,844,A,1,H,1,5.5,0.055,2206.3
138,844,A,1,H,1,8.5,0.085,2196
138,844,A,1,H,1,11.5,0.115,2184.2
138,844,A,1,H,1,14.5,0.145,2181.5
138,844,A,1,H,1,17.5,0.175,2182.8
138,844,A,1,H,1,20.5,0.205,2177.6
138,844,A,1,H,1,23.5,0.235,2177.6
138,844,A,1,H,1,26.5,0.265,2176.2
138,844,A,1,H,1,29.5,0.295,2179.8
138,844,A,1,H,1,32.5,0.325,2176.2
138,844,A,1,H,1,35.5,0.355,2176.2
138,844,A,1,H,1,38.5,0.385,2179.8
138,844,A,1,H,1,41.5,0.415,2181.2
138,844,A,1,H,1,44.5,0.445,2177.6
138,844,A,1,H,1,47.5,0.475,2178.9
138,844,A,1,H,1,50.5,0.505,2178.9
138,844,A,1,H,1,53.5,0.535,2182.5
138,844,A,1,H,1,56.6,0.566,2180.2
138,844,A,1,H,1,59.5,0.595,2183.8
138,844,A,1,H,1,62.6,0.626,2183.8
138,844,A,1,H,1,65.6,0.656,2181.5
138,844,A,1,H,1,68.5,0.685,2181.5
138,844,A,1,H,1,71.5,0.715,2183.8
138,844,A,1,H,1,74.5,0.745,2181.5
138,844,A,1,H,1,77.6,0.776,2181.5
138,844,A,1,H,1,80.5,0.805,2181.5
138,844,A,1,H,1,83.5,0.835,2181.5
138,844,A,1,H,1,86.7,0.867,1528.3
138,844,A,1,H,1,89.5,0.895,1514.3
138,844,A,1,H,1,92.5,0.925,1514.3
138,844,A,1,H,1,95.5,0.955,1513.4
138,844,A,1,H,1,98.5,0.985,1511.7
138,844,A,1,H,1,101.5,1.015,1513.4
138,844,A,1,H,1,104.5,1.045,1515.1
138,844,A,1,H,1,107.5,1.075,1516.1
138,844,A,1,H,1,110.5,1.105,1516.1
138,844,A,1,H,1,113.5,1.135,1515.1
138,844,A,1,H,1,116.5,1.165,1514.3
138,844,A,1,H,1,119.5,1.195,1515.1
138,844,A,1,H,1,122.5,1.225,1513.3
138,844,A,1,H,1,125.5,1.255,1513.3
138,844,A,1,H,1,128.5,1.285,1515.1
138,844,A,1,H,1,131.5,1.315,1513.5
138,844,A,1,H,1,134.5,1.345,1512.7
138,844,A,1,H,1,137.5,1.375,1515.3
138,844,A,1,H,1,140.5,1.405,1517.2
138,844,A,1,H,1,143.5,1.435,2256.5
138,844,A,1,H,1,146.5,1.465,2258.1
138,844,A,1,H,1,149.5,1.495,2051.6
138,844,A,1,H,2,-0.5,            ,2264.7
138,844,A,1,H,2,2.5,1.525,2264.7
138,844,A,1,H,2,5.5,1.555,1510
138,844,A,1,H,2,8.5,1.585,1508.1
138,844,A,1,H,2,11.5,1.615,1504.2
138,844,A,1,H,2,14.5,1.645,1503.4
138,844,A,1,H,2,17.5,1.675,1500.8
138,844,A,1,H,2,20.5,1.705,1501.6
138,844,A,1,H,2,23.5,1.735,1500.7
138,844,A,1,H,2,26.5,1.765,1500.6
138,844,A,1,H,2,29.5,1.795,1501.4
138,844,A,1,H,2,32.5,1.825,1502.2
138,844,A,1,H,2,35.5,1.855,1502.2
138,844,A,1,H,2,38.5,1.885,1503.1
138,844,A,1,H,2,41.5,1.915,1504
138,844,A,1,H,2,44.5,1.945,1501.4
138,844,A,1,H,2,47.5,1.975,1503.1
138,844,A,1,H,2,50.5,2.005,1503.1
138,844,A,1,H,2,53.5,2.035,1504
138,844,A,1,H,2,56.5,2.065,1505.7
138,844,A,1,H,2,59.5,2.095,1505.7
138,844,A,1,H,2,62.5,2.125,1509.1
138,844,A,1,H,2,65.5,2.155,1504
138,844,A,1,H,2,68.5,2.185,1504
138,844,A,1,H,2,71.5,2.215,1504
138,844,A,1,H,2,74.5,2.245,1504.8
138,844,A,1,H,2,77.5,2.275,1504.8
138,844,A,1,H,2,80.5,2.305,1506.5
138,844,A,1,H,2,83.5,2.335,1506.5
138,844,A,1,H,2,86.5,2.365,1503.9
138,844,A,1,H,2,89.5,2.395,1505.6
138,844,A,1,H,2,92.5,2.425,1503.9
138,844,A,1,H,2,95.5,2.455,1503.9
138,844,A,1,H,2,98.5,2.485,1505.6
138,844,A,1,H,2,101.5,2.515,1505.6
138,844,A,1,H,2,104.5,2.545,1509
138,844,A,1,H,2,107.5,2.575,1510.8
138,844,A,1,H,2,110.5,2.605,1514.2
138,844,A,1,H,2,113.5,2.635,1513.3
138,844,A,1,H,2,116.5,2.665,1516
138,844,A,1,H,2,119.5,2.695,1515
138,844,A,1,H,2,122.5,2.725,1517.7
138,844,A,1,H,2,125.5,2.755,1516.8
138,844,A,1,H,2,128.5,2.785,1518.5
138,844,A,1,H,2,131.5,2.815,1529.2
138,844,A,1,H,2,134.5,2.845,1521.3
138,844,A,1,H,2,137.5,2.875,1523
138,844,A,1,H,2,140.5,2.905,1515.2
138,844,A,1,H,2,143.5,2.935,1511.8
138,844,A,1,H,2,146.5,2.965,2235.6
138,844,A,1,H,2,149.5,2.995,2246
